                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.263,                 4.0846,                 4.1258,                0.50418,                0.35135,                0.01502,                0.00473,                 3.4675,                 4.9356,                 3.9753,             0.00054982,             0.00054982,             0.00054982
                      2,                 2.9755,                 3.6589,                 3.5165,                0.56128,                 0.0045,                0.00591,                0.00241,                 3.0703,                 4.1756,                 3.5207,              0.0010836,              0.0010836,              0.0010836
                      3,                 2.7317,                 3.3807,                 3.1806,                 0.0245,                 0.1517,                 0.0062,                 0.0018,                 2.7775,                 11.446,                 3.1993,              0.0015954,              0.0015954,              0.0015954
                      4,                 2.5635,                  3.206,                 3.0373,                0.16132,                0.18319,                0.07585,                0.02013,                 2.6513,                 3.3501,                 3.0678,               0.001568,               0.001568,               0.001568
                      5,                 2.3805,                 3.0728,                 2.8989,                 0.5187,                0.22176,                0.03896,                0.01184,                 2.5274,                 3.7515,                  3.002,               0.001535,               0.001535,               0.001535
                      6,                 2.2677,                 2.9304,                 2.8193,                0.13695,                0.27345,                0.09821,                0.03347,                 2.4534,                 2.7131,                  2.862,               0.001502,               0.001502,               0.001502
                      7,                 2.1806,                 2.8415,                 2.7089,                0.24533,                0.32533,                0.19046,                0.06836,                 2.3086,                 2.8715,                 2.7229,               0.001469,               0.001469,               0.001469
                      8,                 2.1147,                 2.7137,                 2.6134,                0.12621,                0.33499,                0.08108,                0.02794,                 2.2205,                 3.3363,                 2.5848,               0.001436,               0.001436,               0.001436
                      9,                 2.0984,                 2.6287,                 2.5566,                0.24857,                0.31775,                 0.1954,                0.07639,                 2.2225,                 2.5034,                  2.569,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.0072,                 2.5111,                 2.4727,                0.31518,                0.32304,                0.23661,                0.09252,                 2.0232,                 2.3649,                 2.4541,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.9455,                 2.4349,                 2.4141,                0.29045,                0.34557,                0.22885,                0.08694,                 1.9982,                 2.3794,                 2.3789,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.9316,                 2.3803,                 2.3857,                0.24013,                0.32775,                0.24724,                0.09479,                 1.9804,                 2.3292,                 2.3681,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8687,                 2.3068,                 2.3229,                0.38559,                0.40856,                0.29893,                0.12158,                 1.9379,                 2.2488,                 2.3241,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.8233,                 2.2063,                 2.2658,                0.31032,                0.35003,                0.24409,                 0.1077,                 1.8896,                 2.2115,                 2.2741,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8005,                 2.1503,                 2.2338,                0.44301,                0.50251,                0.37909,                0.17738,                 1.8389,                 1.9798,                 2.1967,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.7745,                 2.1263,                 2.1955,                0.40508,                0.44774,                0.33171,                0.14915,                 1.7809,                  2.027,                 2.1615,              0.0011719,              0.0011719,              0.0011719
                     17,                   1.72,                 2.1155,                 2.1506,                 0.5042,                0.41543,                0.39409,                0.20684,                 1.6976,                 1.8894,                 2.0937,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.7284,                 2.0844,                 2.1611,                0.50638,                0.45342,                0.38323,                0.21363,                 1.6993,                 1.9906,                 2.0941,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.6915,                  1.992,                  2.117,                 0.4586,                0.45445,                0.42165,                0.22843,                  1.708,                 1.7958,                 2.0793,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.7029,                  1.985,                 2.1015,                0.51174,                0.50098,                0.47297,                0.23627,                 1.6614,                 1.7792,                 2.0512,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.6586,                 1.9154,                 2.0597,                0.52693,                0.48154,                0.46672,                 0.2321,                 1.6891,                 1.8656,                 2.0267,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.6462,                 1.9312,                 2.0482,                0.46531,                0.52302,                0.46993,                0.26154,                 1.6061,                 1.7302,                 1.9854,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.6405,                 1.8837,                 2.0385,                0.49874,                0.55407,                0.49981,                0.29086,                 1.6012,                 1.6407,                 1.9621,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.6134,                 1.8805,                 2.0374,                0.48694,                0.52633,                0.47391,                0.26497,                 1.6388,                 1.7556,                 2.0205,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.5999,                 1.8308,                 2.0102,                0.55323,                0.48095,                0.52561,                0.30786,                 1.5964,                 1.6296,                 1.9539,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.6123,                 1.8266,                 2.0046,                0.57058,                0.56642,                0.55285,                0.30541,                 1.5839,                 1.5576,                  1.916,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.5813,                 1.8155,                   1.98,                0.61599,                0.53643,                0.57012,                0.30625,                 1.5994,                 1.5675,                  1.937,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.5527,                 1.8079,                  1.962,                  0.645,                0.53215,                0.55413,                0.32187,                 1.5141,                 1.5373,                 1.8683,             0.00077582,             0.00077582,             0.00077582
                     29,                  1.543,                 1.7713,                 1.9448,                0.61329,                0.55145,                0.59044,                0.35155,                 1.4928,                 1.5243,                 1.8706,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.5626,                 1.7298,                 1.9605,                0.60138,                0.56791,                0.59188,                0.34881,                 1.5013,                 1.4773,                 1.8447,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.5305,                 1.6914,                  1.932,                0.61972,                0.58894,                0.60005,                0.35125,                 1.4631,                 1.5964,                 1.8283,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.5314,                  1.709,                 1.9181,                0.65925,                0.53692,                 0.5862,                0.34338,                 1.4352,                 1.4823,                 1.8143,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.5039,                 1.6524,                 1.9092,                0.59872,                0.55897,                0.57238,                0.33015,                 1.4784,                 1.5734,                 1.8021,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.4882,                 1.6517,                 1.8931,                0.55442,                 0.5927,                0.58624,                0.35597,                 1.4455,                 1.5186,                 1.8215,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.4792,                 1.6271,                 1.8707,                0.68194,                 0.5762,                0.62776,                0.38347,                 1.4183,                 1.3626,                 1.7821,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.4861,                 1.6391,                 1.8974,                0.63802,                0.61732,                0.62407,                0.36935,                 1.4485,                 1.3877,                 1.8252,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.4677,                 1.6026,                 1.8524,                0.64119,                0.59876,                0.62518,                0.37267,                 1.3911,                 1.3573,                 1.7438,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.4633,                 1.5849,                 1.8591,                0.67607,                0.60233,                0.62444,                 0.3577,                 1.4372,                 1.3801,                 1.7938,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.4273,                 1.5565,                 1.8347,                0.69754,                0.60865,                0.65804,                0.39168,                 1.4245,                 1.3612,                 1.7659,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.4352,                 1.5573,                 1.8323,                0.72283,                0.60777,                0.64741,                 0.3908,                 1.4044,                 1.3612,                 1.7618,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.3952,                 1.5333,                 1.7949,                0.68522,                0.63029,                0.63446,                0.36314,                 1.4405,                  1.363,                 1.8107,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.3976,                 1.4506,                 1.7692,                0.62237,                 0.6408,                0.63528,                0.37212,                 1.4118,                 1.3201,                 1.7743,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.3693,                 1.4125,                  1.778,                 0.7171,                0.59876,                0.65976,                0.40364,                 1.3581,                 1.2865,                 1.7212,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.3339,                 1.3918,                 1.7241,                0.67938,                0.65207,                0.66261,                0.40642,                 1.3251,                 1.2415,                 1.6967,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2973,                 1.3733,                  1.703,                 0.6962,                0.60699,                0.64713,                0.40737,                 1.3441,                 1.2473,                  1.711,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.3117,                 1.3493,                 1.7118,                0.74628,                0.64005,                 0.6993,                0.44358,                 1.2926,                 1.1745,                 1.6549,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2966,                  1.315,                 1.7138,                0.70545,                0.63402,                0.68162,                0.43438,                 1.3067,                 1.1938,                 1.6685,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.2813,                 1.3005,                 1.6936,                0.69113,                0.65892,                0.69455,                 0.4417,                 1.3014,                 1.2021,                 1.6666,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2788,                 1.3103,                 1.6849,                0.73443,                0.62426,                0.67651,                0.42404,                 1.3144,                 1.2116,                 1.6795,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.2672,                 1.2978,                 1.6839,                0.72735,                0.65411,                0.69212,                0.44054,                 1.2991,                 1.1686,                 1.6624,             4.9677e-05,             4.9677e-05,             4.9677e-05
